File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\EmailView.xaml.cs,42,38,27,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\FileView.xaml.cs,66,59,34,5,7,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\Hr80PSView.xaml.cs,44,40,27,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\LableView.xaml.cs,59,53,33,3,6,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\ListActionView.xaml.cs,47,43,29,2,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\MessageView.xaml.cs,40,35,24,1,4,0,1,3,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\MotorControlerView.xaml.cs,47,43,28,2,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\PingView.xaml.cs,44,41,28,2,3,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\RelayControlView.xaml.cs,46,41,27,2,5,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\Rs232View.xaml.cs,123,111,67,6,12,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\RunProgramView.xaml.cs,68,59,39,3,6,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\ScriptView.xaml.cs,56,47,29,2,6,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\ServerComView.xaml.cs,52,40,27,1,4,0,8,47,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SftpView.xaml.cs,42,38,27,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SleepView.xaml.cs,35,29,17,1,3,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SqlitView.xaml.cs,41,37,26,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SshView.xaml.cs,54,47,32,1,7,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SwitchView.xaml.cs,87,74,50,5,12,0,1,1,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\SystemView.xaml.cs,38,34,23,1,4,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\TableView.xaml.cs,44,39,28,1,5,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\TelnetView.xaml.cs,42,37,26,1,5,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\TextManipulationView.xaml.cs,78,67,43,8,8,0,3,18,0,0
